grid_id,dist_ranger,dist_salt,dist_vill,dist_str,ndvi_cv,slope
1114,3605.5500,1000.0000,29206.2000,3000.0000,0.0800,24.8417
1115,2828.4300,1000.0000,28425.3000,2000.0000,0.0904,12.3751
1116,2236.0700,0.0000,27658.6000,1000.0000,0.1795,13.8449
1117,2000.0000,1000.0000,26907.2000,0.0000,0.2277,7.8912
1118,2236.0700,1000.0000,26172.5000,0.0000,0.2172,48.1808
1119,2828.4300,0.0000,25455.8000,1000.0000,0.2333,14.6472
1120,3605.5500,1000.0000,24758.8000,2000.0000,0.2470,15.5286
1121,4472.1400,2000.0000,24083.2000,3000.0000,0.1879,10.5383
1122,5385.1700,2236.0700,23430.8000,4000.0000,0.1442,12.1887
1123,6324.5600,2000.0000,22803.5000,5000.0000,0.0929,43.3406
1124,7280.1100,2236.0700,22203.6000,5000.0000,0.0910,40.4182
1125,7810.2500,2828.4300,21377.6000,4242.6400,0.1045,31.0760
1126,7211.1000,2828.4300,20396.1000,3605.5500,0.1386,19.9222
1127,6708.2000,2236.0700,19416.5000,3162.2800,0.1687,16.3945
1128,6324.5600,2000.0000,18439.1000,3000.0000,0.1559,10.8247
1129,6082.7600,2236.0700,17464.2000,2828.4300,0.1785,34.9369
1130,6000.0000,2236.0700,16492.4000,2236.0700,0.1535,60.0822
1131,6082.7600,2000.0000,15524.2000,2000.0000,0.1635,55.1852
1132,6324.5600,2000.0000,14560.2000,2000.0000,0.1669,33.1114
1133,6708.2000,2000.0000,13601.5000,2000.0000,0.1252,45.3795
1134,7211.1000,1000.0000,12649.1000,2236.0700,0.1221,42.5379
1135,7810.2500,0.0000,11704.7000,2828.4300,0.1050,25.1899
1136,8485.2800,1000.0000,10770.3000,3605.5500,0.1099,32.6455
1137,8062.2600,0.0000,9848.8600,2828.4300,0.0894,34.9959
1138,7615.7700,1000.0000,8944.2700,2236.0700,0.1278,36.7095
1139,7280.1100,2000.0000,8062.2600,2000.0000,0.1343,42.6569
1140,6708.2000,2236.0700,31064.4000,5830.9500,0.0866,61.5021
1141,5830.9500,1414.2100,30232.4000,5000.0000,0.1139,54.3743
1142,5000.0000,1000.0000,29410.9000,4000.0000,0.1204,28.9285
1143,4242.6400,0.0000,28600.7000,3000.0000,0.0765,10.4564
1144,3605.5500,1000.0000,27802.9000,2000.0000,0.1273,15.5315
1145,3162.2800,1000.0000,27018.5000,1000.0000,0.1373,20.5539
1146,3000.0000,1414.2100,26248.8000,0.0000,0.2193,8.9833
1147,3162.2800,1000.0000,25495.1000,0.0000,0.2996,11.9776
1148,3605.5500,0.0000,24758.8000,1000.0000,0.2407,22.6982
1149,4242.6400,1000.0000,24041.6000,2000.0000,0.1712,13.0296
1150,5000.0000,1000.0000,23345.2000,3000.0000,0.1542,20.9665
1151,5830.9500,1414.2100,22671.6000,4000.0000,0.1612,21.8974
1152,6708.2000,1000.0000,22022.7000,5000.0000,0.1096,23.6236
1153,7615.7700,1414.2100,21400.9000,4472.1400,0.0979,62.9892
1154,7071.0700,2236.0700,20808.7000,3605.5500,0.0742,35.3222
1155,6403.1200,2236.0700,20124.6000,2828.4300,0.1969,67.0827
1156,5830.9500,1414.2100,19235.4000,2236.0700,0.1584,11.6536
1157,5385.1700,1000.0000,18357.6000,2000.0000,0.1522,36.0228
1158,5099.0200,1414.2100,17492.9000,2000.0000,0.1913,33.3195
1159,5000.0000,1414.2100,16643.3000,1414.2100,0.1659,24.5194
1160,5099.0200,1000.0000,15811.4000,1000.0000,0.1525,30.0402
1161,5385.1700,1000.0000,14866.1000,1000.0000,0.1826,21.2802
1162,5830.9500,1000.0000,13928.4000,1000.0000,0.1563,39.0229
1163,6403.1200,1414.2100,13000.0000,1414.2100,0.1203,33.9698
1164,7071.0700,1000.0000,12000.0000,2236.0700,0.1291,46.8861
1165,7810.2500,0.0000,11000.0000,3162.2800,0.1386,13.3773
1166,8602.3300,1000.0000,10000.0000,2236.0700,0.1704,36.6852
1167,8544.0000,1414.2100,9000.0000,1414.2100,0.1954,33.1433
1168,8246.2100,2000.0000,8000.0000,1000.0000,0.1873,34.4497
1169,7211.1000,2000.0000,30528.7000,5000.0000,0.1172,62.6007
1170,6403.1200,1000.0000,29681.6000,5000.0000,0.1375,62.8503
1171,5656.8500,0.0000,28844.4000,4000.0000,0.1317,63.6027
1172,5000.0000,0.0000,28017.9000,3000.0000,0.1017,4.4394
1173,4472.1400,1000.0000,27202.9000,2000.0000,0.1314,16.9664
1174,4123.1100,2000.0000,26400.8000,1000.0000,0.1431,35.9653
1175,4000.0000,1000.0000,25612.5000,0.0000,0.1781,12.8060
1176,4123.1100,0.0000,24839.5000,0.0000,0.1998,8.6395
1177,4472.1400,1000.0000,24083.2000,1000.0000,0.2293,42.4574
1178,5000.0000,1000.0000,23345.2000,2000.0000,0.1669,6.0717
1179,5656.8500,0.0000,22627.4000,3000.0000,0.1476,12.7305
1180,6403.1200,1000.0000,21931.7000,4000.0000,0.1481,7.3241
1181,7211.1000,0.0000,21260.3000,5000.0000,0.0755,11.0386
1182,7211.1000,1000.0000,20615.5000,4123.1100,0.0704,23.1544
1183,6403.1200,2000.0000,20000.0000,3162.2800,0.0416,36.4564
1184,5656.8500,2000.0000,19416.5000,2236.0700,0.1700,63.8355
1185,5000.0000,1000.0000,18788.3000,1414.2100,0.2261,26.7707
1186,4472.1400,0.0000,17888.5000,1000.0000,0.1739,45.3819
1187,4123.1100,1000.0000,17000.0000,1000.0000,0.1571,20.6777
1188,4000.0000,1000.0000,16124.5000,1000.0000,0.1912,18.7912
1189,4123.1100,0.0000,15264.3000,0.0000,0.1721,2.9661
1190,4472.1400,0.0000,14422.2000,0.0000,0.1858,29.1271
1191,5000.0000,0.0000,13601.5000,0.0000,0.1922,17.9591
1192,5656.8500,1000.0000,12806.2000,1000.0000,0.1610,33.2398
1193,6403.1200,1414.2100,12041.6000,2000.0000,0.1869,29.8676
1194,7211.1000,1000.0000,11045.4000,3000.0000,0.2163,47.0354
1195,8062.2600,0.0000,10049.9000,2000.0000,0.2060,27.1851
1196,8944.2700,1000.0000,9055.3800,1000.0000,0.2222,42.8971
1197,9219.5400,1000.0000,8062.2600,0.0000,0.2569,38.2487
1198,9055.3800,1000.0000,7071.0700,1000.0000,0.2249,32.4217
1199,7810.2500,2236.0700,30016.7000,4242.6400,0.0775,33.9160
1200,7071.0700,1414.2100,29154.8000,5000.0000,0.1231,47.8233
1201,6403.1200,1000.0000,28301.9000,4000.0000,0.1547,74.4358
1202,5830.9500,1000.0000,27459.1000,3000.0000,0.1167,14.5650
1203,5385.1700,1000.0000,26627.1000,2000.0000,0.1466,13.0505
1204,5099.0200,1414.2100,25807.0000,1000.0000,0.1527,38.0390
1205,5000.0000,1000.0000,25000.0000,0.0000,0.1541,12.0577
1206,5099.0200,0.0000,24207.4000,0.0000,0.1612,23.2835
1207,5385.1700,1000.0000,23430.8000,1000.0000,0.2071,18.6999
1208,5830.9500,0.0000,22671.6000,2000.0000,0.1481,13.8226
1209,6403.1200,0.0000,21931.7000,3000.0000,0.1688,7.2328
1210,7071.0700,1000.0000,21213.2000,4000.0000,0.1909,13.2747
