grid_id,dist_ranger,dist_salt,dist_vill,dist_str,ndvi_cv,slope
137,2236.07,1414.21,12041.6,2236.07,0.213,32.2413
138,3162.28,1000,11313.7,1414.21,0.2897,58.2322
139,4123.11,1414.21,10630.1,1000,0.2387,69.4503
140,5099.02,2236.07,10000,1000,0.2929,82.0115
141,6082.76,2000,9433.98,1000,0.2484,104.426
142,5656.85,2236.07,8944.27,0,0.2339,151.37
143,5000,2828.43,8544,1000,0.2088,93.8657
144,4472.14,3605.55,8246.21,1000,0.1692,72.7092
145,4123.11,4472.14,8062.26,1000,0.1094,26.0702
146,4000,5385.17,8000,1414.21,0.1453,36.2983
147,4123.11,6324.56,8062.26,2000,0.0997,44.3046
148,4472.14,7280.11,8246.21,2000,0.1036,40.0973
149,4472.14,6324.56,30805.8,0,0.3063,79.4975
150,3605.55,5830.95,29832.9,0,0.3104,82.3094
151,2828.43,5000,28861.7,1000,0.2525,65.1636
152,2236.07,4242.64,27892.7,1000,0.2099,48.5286
153,2000,3605.55,26925.8,1414.21,0.2072,37.2436
154,2236.07,3162.28,25961.5,2236.07,0.1852,52.5793
155,2828.43,3000,25000,2828.43,0.2435,58.2392
156,3605.55,3162.28,24041.6,3605.55,0.3346,48.7986
157,4472.14,3605.55,23086.8,4472.14,0.2797,92.848
158,5385.17,4123.11,22135.9,5385.17,0.1313,23.3294
159,6324.56,4000,21189.6,6324.56,0.152,47.2272
160,7280.11,4123.11,20248.5,5385.17,0.1237,35.3051
161,7280.11,4472.14,19313.2,4472.14,0.0715,24.4001
162,6324.56,4123.11,18384.8,3605.55,0.0943,35.4564
163,5385.17,3162.28,17464.2,2828.43,0.1665,112.858
164,4472.14,2236.07,16552.9,2236.07,0.2249,111.377
165,3605.55,1414.21,15652.5,1414.21,0.1799,107.966
166,2828.43,1000,14764.8,1000,0.168,15.3505
167,2236.07,0,13892.4,0,0.2436,21.5805
168,2000,1000,13038.4,1000,0.1429,4.4376
169,2236.07,2000,12206.6,2000,0.1644,16.2619
170,2828.43,1000,11401.8,2828.43,0.1463,31.8603
171,3605.55,0,10630.1,2236.07,0.1905,82.7897
172,4472.14,1000,9899.5,2000,0.1932,71.0503
173,5385.17,2000,9219.54,2000,0.1811,112.168
174,6324.56,3000,8602.33,1414.21,0.2519,100.403
175,6403.12,3162.28,8062.26,1000,0.2604,78.4798
176,5830.95,3605.55,7615.77,0,0.1586,44.0441
177,5385.17,4242.64,7280.11,0,0.1439,80.5286
178,5099.02,5000,7071.07,0,0.1061,22.9323
179,5000,5830.95,7000,1000,0.0979,18.9626
180,5099.02,6708.2,7071.07,1000,0.1253,48.1141
181,5000,7615.77,7280.11,1000,0.0978,39.4487
182,4242.64,8544,7615.77,1414.21,0.1021,37.2015
183,5830.95,5830.95,31575.3,0,0.4138,81.1685
184,5000,5385.17,30594.1,0,0.278,60.0507
185,4242.64,5099.02,29614.2,1000,0.3052,57.0921
186,3605.55,4472.14,28635.6,1414.21,0.1482,74.7009
187,3162.28,3605.55,27658.6,2000,0.1849,82.9276
188,3000,2828.43,26683.3,2236.07,0.2127,26.7126
189,3162.28,2236.07,25709.9,2828.43,0.29,41.4451
190,3605.55,2000,24738.6,3605.55,0.2694,30.4188
191,4242.64,2236.07,23769.7,4242.64,0.2857,46.0196
192,5000,2828.43,22803.5,5000,0.2304,55.2037
193,5830.95,3162.28,21840.3,5830.95,0.1483,23.4556
194,6708.2,3000,20880.6,6082.76,0.1363,47.329
195,7615.77,3162.28,19924.9,5099.02,0.1117,50.2977
196,7615.77,3605.55,18973.7,4123.11,0.0748,45.1505
197,6708.2,3605.55,18027.8,3162.28,0.0927,41.8454
198,5830.95,3000,17088,2236.07,0.173,62.4472
199,5000,2000,16155.5,1414.21,0.2247,74.9305
200,4242.64,1000,15231.5,1000,0.1888,104.777
201,3605.55,0,14317.8,0,0.1891,14.5131
202,3162.28,1000,13416.4,0,0.2202,14.9796
203,3000,1000,12530,1000,0.1612,2.8297
204,3162.28,1414.21,11661.9,2000,0.1775,48.3554
205,3605.55,1414.21,10816.7,3000,0.171,35.6657
206,4242.64,1000,10000,3162.28,0.2191,94.6914
207,5000,1414.21,9219.54,3000,0.1107,74.7878
208,5830.95,2000,8485.28,2828.43,0.1304,53.7867
209,6403.12,2236.07,7810.25,2236.07,0.1722,64.8015
210,5830.95,2828.43,7211.1,1414.21,0.1808,68.3478
211,5385.17,3605.55,6708.2,1000,0.2007,55.402
212,5099.02,4472.14,6324.56,1000,0.1426,67.5016
213,5000,5385.17,6082.76,0,0.0966,37.038
214,5099.02,6324.56,6000,0,0.1053,27.6696
215,5385.17,7211.1,6082.76,0,0.1167,45.6316
216,5656.85,8062.26,6324.56,0,0.097,53.7023
217,5000,8944.27,6708.2,1000,0.0986,27.7402
218,4472.14,9848.86,7211.1,2000,0.1034,31.1427
219,5656.85,4472.14,30413.8,1000,0.277,40.5855
220,5000,4123.11,29427.9,1414.21,0.2415,76.6286
221,4472.14,4000,28442.9,2236.07,0.1582,99.6876
222,4123.11,3162.28,27459.1,2828.43,0.1872,37.8144
223,4000,2236.07,26476.4,3162.28,0.1965,79.5905
224,4123.11,1414.21,25495.1,3605.55,0.2045,20.3454
225,4472.14,1000,24515.3,4242.64,0.1906,23.8832
226,5000,1414.21,23537.2,5000,0.2312,27.7865
227,5656.85,2236.07,22561,5656.85,0.2596,44.6411
228,6403.12,2236.07,21587,6403.12,0.1686,15.774
229,7211.1,2000,20615.5,6000,0.137,38.932
230,8062.26,2236.07,19646.9,5000,0.104,37.0302
231,8062.26,2828.43,18681.5,4000,0.1041,38.2835
232,7211.1,2828.43,17720,3000,0.098,43.9565
233,6403.12,2236.07,16763.1,2000,0.1714,70.1224
234,5656.85,2000,15811.4,1000,0.194,90.7849
235,5000,1414.21,14866.1,0,0.1827,66.9336
236,4472.14,1000,13928.4,0,0.2228,41.1931
237,4123.11,0,13000,0,0.2145,10.7598
238,4000,0,12083,1000,0.1544,14.971
239,4123.11,1000,11180.3,2000,0.1754,56.3304
240,4472.14,2000,10295.6,3000,0.1615,75.1865
241,5000,2000,9433.98,4000,0.1803,65.1789
242,5656.85,1414.21,8602.33,4000,0.1316,63.953
243,6403.12,1000,7810.25,3605.55,0.0978,60.3463
244,5656.85,1414.21,7071.07,2828.43,0.1242,40.2748
245,5000,2236.07,6403.12,2236.07,0.1072,86.8444
246,4472.14,3162.28,5830.95,2000,0.1518,59.5064
247,4123.11,4123.11,5385.17,1414.21,0.1474,52.8267
248,4000,5099.02,5099.02,1000,0.1025,29.8722
249,4123.11,6082.76,5000,1000,0.1199,39.8346
250,4472.14,7071.07,5099.02,0,0.1194,42.1773
251,5000,8062.26,5385.17,0,0.1256,30.4399
252,5656.85,9055.38,5830.95,1000,0.1192,31.3843
253,5385.17,10049.9,6403.12,2000,0.1203,23.6111
254,6403.12,3605.55,30265.5,2000,0.2085,24.3516
255,5830.95,3162.28,29274.6,2236.07,0.202,46.2152
256,5385.17,3000,28284.3,2828.43,0.2184,132.683
257,5099.02,3000,27294.7,3605.55,0.2401,62.7201
