"Species","Rank","Type","Model_Covariates","Delta_wAIC","Weight","Parameter","Mean","SD","MCSE","Median","q2.5%","q5%","q10%","q25%","q50%","q75%","q90%","q95%","q97.5%"
"Muntjac",7,"Spatial","slope + DE",1.78,0.086,"sigma_spatial (CAR SD)",0.521674742158501,0.165669018015777,0.0619934076207532,0.497009376027795,0.254493819372707,0.281846306814797,0.318343131000527,0.403433959077793,0.497009376027795,0.621124205496744,0.77443483031729,0.840569574813281,0.867919380982383
"Sambar deer",1,"Spatial","dist_str + ndvi_cv + elev + BB + DD",0,0.399,"beta0 (Intercept)",-1.0072612629608,0.340075750807495,0.0373317724646953,-0.98800242502812,-1.71579242931556,-1.60393756949361,-1.46074476503813,-1.22398408442405,-0.98800242502812,-0.771816140345404,-0.583219698675061,-0.477917432442256,-0.388151444212623
"Sambar deer",1,"Spatial","dist_str + ndvi_cv + elev + BB + DD",0,0.399,"beta_dist_str",-0.164738892113286,0.312672784286755,0.028116173922814,-0.155537993617944,-0.836613647333422,-0.724506073445809,-0.562530800085097,-0.364034049491655,-0.155537993617944,0.0441597708444365,0.22986586598241,0.341101640116286,0.434273191581965
"Sambar deer",1,"Spatial","dist_str + ndvi_cv + elev + BB + DD",0,0.399,"beta_ndvi_cv",-1.32358311554547,0.326410536222953,0.0327566495124863,-1.32045238078235,-1.9658174086221,-1.85388934761347,-1.7518378311997,-1.55138218687735,-1.32045238078235,-1.09519947572733,-0.899722834414083,-0.790837646348791,-0.695317067208596
"Sambar deer",1,"Spatial","dist_str + ndvi_cv + elev + BB + DD",0,0.399,"beta_elev",-2.18235560540225,0.355742696439858,0.0525163366607145,-2.16764554424725,-2.99562051562305,-2.81414057901392,-2.61419769634287,-2.38729152774239,-2.16764554424725,-1.95713926158849,-1.75431225298327,-1.63458298876622,-1.52970588933249
"Sambar deer",1,"Spatial","dist_str + ndvi_cv + elev + BB + DD",0,0.399,"beta_BB",-1.71874806465606,0.928972797356377,0.0646698433800508,-1.66473300527281,-3.68250163354183,-3.37490208352733,-2.93144428796208,-2.32514383191881,-1.66473300527281,-1.0417915586252,-0.545673597329754,-0.305240913812124,-0.100672302912009
"Sambar deer",1,"Spatial","dist_str + ndvi_cv + elev + BB + DD",0,0.399,"beta_DD",-0.521946557663201,0.578659308875621,0.0354651893804281,-0.403878627106704,-1.97467699968325,-1.67878916573643,-1.31351219660657,-0.807209803831233,-0.403878627106704,-0.119788816589116,0.107416532800197,0.22494024418472,0.313467192810039
"Sambar deer",1,"Spatial","dist_str + ndvi_cv + elev + BB + DD",0,0.399,"sigma_spatial (CAR SD)",1.30250016882163,0.120202933333115,0.0227930348535642,1.31293581510215,1.04854561158407,1.08372742709471,1.13476768841328,1.2214112358482,1.31293581510215,1.39444387867877,1.45769216882705,1.47956150785187,1.49120621357664
"Sambar deer",2,"Spatial","ndvi_cv + elev + BB",0.95,0.248,"beta0 (Intercept)",-0.986176991146658,0.358566229466417,0.0431822249079165,-0.969763619428206,-1.80965071931632,-1.61052613393782,-1.42647907880873,-1.19534606147133,-0.969763619428206,-0.746843255916963,-0.544683258108624,-0.428478932111233,-0.341081733273815
"Sambar deer",2,"Spatial","ndvi_cv + elev + BB",0.95,0.248,"beta_ndvi_cv",-1.34563416842492,0.28910587911465,0.0255946045821572,-1.33635320272568,-1.92045488003575,-1.82272213387968,-1.7244757161564,-1.54936055794027,-1.33635320272568,-1.14559428206033,-0.970540856201157,-0.872627510694381,-0.801142942228255
"Sambar deer",2,"Spatial","ndvi_cv + elev + BB",0.95,0.248,"beta_elev",-2.41753050406982,0.307300331143893,0.0389448218682779,-2.41053314200092,-3.0675433262793,-2.96319874054659,-2.82424290716838,-2.61524702363959,-2.41053314200092,-2.21009508075915,-2.03503892058315,-1.93155419006603,-1.86151284270436
"Sambar deer",2,"Spatial","ndvi_cv + elev + BB",0.95,0.248,"beta_BB",-1.68524627348955,1.03037305342489,0.105623480824451,-1.58024622611102,-3.88346074106868,-3.56156313207981,-3.10892006452597,-2.33096187409265,-1.58024622611102,-0.939146899897741,-0.43606438151461,-0.167718900093633,0.0163361113509492
"Sambar deer",2,"Spatial","ndvi_cv + elev + BB",0.95,0.248,"sigma_spatial (CAR SD)",1.29123369025448,0.172697630191422,0.0527832646248174,1.33581131529151,0.901200639217411,0.944019857277784,1.00611102238062,1.19260929219799,1.33581131529151,1.43175637249944,1.47456565300375,1.48625189110179,1.49293736897567
