"Species","Species_Code","Rank","Type","Covariates","Parameter","Group_Size_Class","Distance_Bin","Mean","SD","MCSE","Median","HPD_95_Lower","HPD_95_Upper"
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[2, 5]","Group Size Class 2","Distance Bin 5",0.0114018519988153,0.00617224027347203,0.000192440845612457,0.0101008728684883,0.00208613173272252,0.0240229718154697
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[3, 5]","Group Size Class 3","Distance Bin 5",0.00786965848814352,0.00421949278417176,0.000120924967932303,0.00701006578534486,0.0015223500132418,0.0164287349465997
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[4, 5]","Group Size Class 4","Distance Bin 5",0.00405847173772835,0.00229901539993665,6.22504153576851e-05,0.00357840288304996,0.000690971460590062,0.0085613187359492
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[5, 5]","Group Size Class 5","Distance Bin 5",0.00245018614491322,0.00160098399833638,3.97034750967399e-05,0.00206697261544998,0.000282644873593153,0.00558546893542641
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","sigma[1]","Group Size Class 1","-",45.9392383610336,7.69065403623455,0.237460867547213,44.5896760684973,33.0289548949552,60.9228401943281
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","sigma[2]","Group Size Class 2","-",48.1466228925504,8.36153200560584,0.261920729416679,46.6669330892415,34.2978065839803,64.450750276835
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","sigma[3]","Group Size Class 3","-",50.5532802956207,9.69947067514713,0.28480275421974,48.7841136466854,35.64109634214,69.8718846247265
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","sigma[4]","Group Size Class 4","-",53.1854271332061,11.7921443846094,0.353780819403783,50.7238292022569,35.6906956818124,75.4170012902913
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","sigma[5]","Group Size Class 5","-",57.1586106576122,15.9245320907299,0.473688489709994,53.4080433908967,36.0002363468591,86.9990555253718
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","sigma0","-","-",3.81474663387124,0.155186019187471,0.00474792168795256,3.79750235151076,3.53348839603354,4.13860878129851
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","gs_k[1]","Group Size Class 1","-",0.360578606166995,0.0480917279734205,0.000989508057579515,0.360090130557381,0.267389822270959,0.455115422533983
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","gs_k[2]","Group Size Class 2","-",0.318389961333025,0.00672578390890191,0.00013461548171271,0.320941030586926,0.304809073383968,0.323823028436456
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","gs_k[3]","Group Size Class 3","-",0.190002612323263,0.0187451489629196,0.00038559956545047,0.191095092506289,0.151053600844996,0.223217371302163
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","gs_k[4]","Group Size Class 4","-",0.0861944456199005,0.0183636761327654,0.000377348662012261,0.0852480249474196,0.0510356929600322,0.121684682346097
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","gs_k[5]","Group Size Class 5","-",0.0448343745568174,0.0168754712529298,0.000345894072827647,0.0422924374005872,0.0162277578894068,0.0782477851552185
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","muc","-","-",1.79402207841264,0.210802072374127,0.00433384053866877,1.78441055349684,1.38300077482617,2.19990999007423
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","p","-","-",0.0471455397572718,0.0431159208750471,0.00114685835173368,0.0340030306074967,2.7887093189555e-05,0.131657156324737
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[1, 1]","Group Size Class 1","Distance Bin 1",0.0697467830618426,0.00929754259165411,0.000190898529950435,0.0697093297894695,0.0515866376348209,0.0878947286378473
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[2, 1]","Group Size Class 2","Distance Bin 1",0.0617663985519918,0.00142837061240952,3.13957154452855e-05,0.0621133018939075,0.0587613124487777,0.0639084611454354
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[3, 1]","Group Size Class 3","Distance Bin 1",0.0369472690392216,0.00363131874184696,7.41397335054925e-05,0.0371474045178261,0.0294153480939618,0.0434071576648689
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[4, 1]","Group Size Class 4","Distance Bin 1",0.0167937824004568,0.00356165940268495,7.27242164263299e-05,0.0165872464820786,0.0100244471340707,0.0237402680074291
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[5, 1]","Group Size Class 5","Distance Bin 1",0.00875418028824778,0.0032826875600085,6.68916654122688e-05,0.00823477981843684,0.00313636092558618,0.0152066977131362
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[1, 2]","Group Size Class 1","Distance Bin 2",0.0572253309111012,0.00834881478008327,0.000177137644084035,0.0570589808480122,0.0410925003365248,0.0734792005677856
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[2, 2]","Group Size Class 2","Distance Bin 2",0.0515570043284231,0.00335630157641619,9.07553996509809e-05,0.0516279779281777,0.0448886731993062,0.0579933807556998
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[3, 2]","Group Size Class 3","Distance Bin 2",0.0312795324769768,0.00348659052136288,7.36742464295289e-05,0.0313046632372648,0.0244439346619186,0.0379827673637563
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[4, 2]","Group Size Class 4","Distance Bin 2",0.0143850447702112,0.00308382632755315,6.11443780667975e-05,0.0141804432943238,0.00841313258531913,0.020270896532167
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[5, 2]","Group Size Class 5","Distance Bin 2",0.00759656630614819,0.00282428463473367,5.52683501017109e-05,0.00717226218332486,0.00274539540799567,0.0131398848597827
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[1, 3]","Group Size Class 1","Distance Bin 3",0.0388752390229346,0.00838240710760163,0.000204464491400225,0.0383194042238273,0.0234340843761554,0.0554120962961322
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[2, 3]","Group Size Class 2","Distance Bin 3",0.036214242458179,0.00602740456271789,0.000165159926778934,0.0359528674003568,0.0245492983832908,0.0480526423427502
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[3, 3]","Group Size Class 3","Distance Bin 3",0.0226014592326301,0.00417124480824975,0.000101914811785698,0.0224136648155673,0.015026613389973,0.0313104900594012
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[4, 3]","Group Size Class 4","Distance Bin 3",0.0106444105316728,0.00271450490931306,5.73489626629228e-05,0.0103914448868344,0.00546951507716709,0.0159150537632851
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[5, 3]","Group Size Class 5","Distance Bin 3",0.00577273144061249,0.0022569736498708,4.42154241116107e-05,0.00541278269677698,0.00203293874116869,0.010325259409488
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[1, 4]","Group Size Class 1","Distance Bin 4",0.0222551372360141,0.00803224552945699,0.000211825494766563,0.0213082620839132,0.00862301048346193,0.0381291521318153
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[2, 4]","Group Size Class 2","Distance Bin 4",0.0217460025481688,0.00700689064229885,0.000194874952605617,0.0209544822392209,0.00959349810080228,0.0359474479326679
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[3, 4]","Group Size Class 3","Distance Bin 4",0.0141593477889739,0.00463288673783251,0.000122235430425429,0.0136089110883446,0.00567989963065722,0.0230588624684984
