grid_id,dist_ranger,dist_salt,dist_vill,dist_str,slope_var,ndvi_cv
2057,8246.21,2000,8000,1000,34.45,0.152
2058,8062.26,2000,7000,1414.21,28.041,0.17
2059,8000,2000,6000,2236.07,24.146,0.17
2060,8062.26,1414.21,5000,3162.28,20.242,0.171
2061,6082.76,2236.07,34000,4123.11,32.152,0.036
2062,6324.56,2828.43,33121,4000,44.772,0.046
2063,6708.2,3605.55,32249,4123.11,37.794,0.062
2064,7211.1,3000,31384.7,4472.14,32.439,0.055
2065,7211.1,2000,30528.7,5000,62.601,0.092
2066,6403.12,1000,29681.6,5000,62.85,0.084
2067,5656.85,0,28844.4,4000,63.603,0.094
2068,5000,0,28017.9,3000,4.439,0.097
2069,4472.14,1000,27202.9,2000,16.966,0.107
2070,4123.11,2000,26400.8,1000,35.965,0.127
2071,4000,1000,25612.5,0,12.806,0.134
2072,4123.11,0,24839.5,0,8.639,0.133
2073,4472.14,1000,24083.2,1000,42.457,0.141
2074,5000,1000,23345.2,2000,6.072,0.109
2075,5656.85,0,22627.4,3000,12.731,0.098
2076,6403.12,1000,21931.7,4000,7.324,0.099
2077,7211.1,0,21260.3,5000,11.039,0.074
2078,7211.1,1000,20615.5,4123.11,23.154,0.072
2079,6403.12,2000,20000,3162.28,36.456,0.062
2080,5656.85,2000,19416.5,2236.07,63.836,0.109
2081,5000,1000,18788.3,1414.21,26.771,0.148
2082,4472.14,0,17888.5,1000,45.382,0.14
2083,4123.11,1000,17000,1000,20.678,0.135
2084,4000,1000,16124.5,1000,18.791,0.129
2085,4123.11,0,15264.3,0,2.966,0.115
2086,4472.14,0,14422.2,0,29.127,0.132
2087,5000,0,13601.5,0,17.959,0.112
2088,5656.85,1000,12806.2,1000,33.24,0.092
2089,6403.12,1414.21,12041.6,2000,29.868,0.139
2090,7211.1,1000,11045.4,3000,47.035,0.149
2091,8062.26,0,10049.9,2000,27.185,0.164
2092,8944.27,1000,9055.38,1000,42.897,0.169
2093,9219.54,1000,8062.26,0,38.249,0.177
2094,9055.38,1000,7071.07,1000,32.422,0.182
2095,9000,1000,6082.76,2000,26.845,0.174
2096,7071.07,1414.21,35341.2,4242.64,36.059,0.045
2097,7000,1000,34438.4,3605.55,26.041,0.04
2098,7071.07,1414.21,33541,3162.28,38.342,0.032
2099,7280.11,2236.07,32649.7,3000,41.278,0.045
2100,7615.77,3162.28,31764.8,3162.28,43.697,0.061
2101,8062.26,3162.28,30886.9,3605.55,33.976,0.059
2102,7810.25,2236.07,30016.7,4242.64,33.916,0.079
2103,7071.07,1414.21,29154.8,5000,47.823,0.09
2104,6403.12,1000,28301.9,4000,74.436,0.1
2105,5830.95,1000,27459.1,3000,14.565,0.099
2106,5385.17,1000,26627.1,2000,13.051,0.101
2107,5099.02,1414.21,25807,1000,38.039,0.112
2108,5000,1000,25000,0,12.058,0.104
2109,5099.02,0,24207.4,0,23.284,0.105
2110,5385.17,1000,23430.8,1000,18.7,0.117
2111,5830.95,0,22671.6,2000,13.823,0.097
2112,6403.12,0,21931.7,3000,7.233,0.106
2113,7071.07,1000,21213.2,4000,13.275,0.121
2114,7615.77,1000,20518.3,5000,21.831,0.097
2115,6708.2,1414.21,19849.4,4000,23.635,0.066
2116,5830.95,2236.07,19209.4,3000,53.156,0.062
2117,5000,2000,18601.1,2000,59.509,0.061
2118,4242.64,1000,18027.8,1000,39.072,0.122
2119,3605.55,0,17464.2,0,28.896,0.138
2120,3162.28,0,16552.9,0,8.536,0.129
2121,3000,1000,15652.5,0,4.305,0.111
2122,3162.28,1000,14764.8,0,3.454,0.171
2123,3605.55,0,13892.4,0,1.757,0.142
2124,4242.64,1000,13038.4,0,29.564,0.139
2125,5000,1414.21,12206.6,1000,31.168,0.118
2126,5830.95,1414.21,11401.8,2000,28.681,0.133
2127,6708.2,1000,10630.1,3000,48.325,0.151
2128,7615.77,1000,9899.5,2236.07,14.28,0.163
2129,8544,1000,9219.54,1414.21,30.116,0.182
2130,8246.21,0,8246.21,1000,43.594,0.17
2131,8062.26,0,7280.11,1414.21,3.886,0.193
2132,8000,0,6324.56,2236.07,11.043,0.197
2133,8062.26,1000,34928.5,3605.55,21.567,0.042
2134,8000,0,34014.7,2828.43,10.554,0.034
2135,8062.26,1000,33105.9,2236.07,42.686,0.041
2136,8246.21,2000,32202.5,2000,44.622,0.044
2137,8544,2236.07,31305,2236.07,31.252,0.062
2138,8944.27,2828.43,30413.8,2828.43,35.909,0.074
2139,8485.28,2236.07,29529.6,3605.55,52.724,0.075
2140,7810.25,2000,28653.1,4472.14,28.73,0.09
2141,7211.1,1000,27784.9,4000,57.85,0.138
2142,6708.2,0,26925.8,3000,9.389,0.099
2143,6324.56,0,26076.8,2000,10.078,0.093
2144,6082.76,1000,25238.9,1000,39.236,0.098
2145,6000,1000,24413.1,0,25.476,0.09
2146,6082.76,0,23600.8,0,17.128,0.106
2147,6324.56,1000,22803.5,1000,22.869,0.117
2148,6708.2,1000,22022.7,2000,6.308,0.134
2149,7211.1,1000,21260.3,2828.43,6.331,0.12
2150,7810.25,1414.21,20518.3,3605.55,6.5,0.114
2151,7280.11,2000,19799,4472.14,21.797,0.124
2152,6324.56,2236.07,19105,4123.11,18.624,0.054
2153,5385.17,2828.43,18439.1,3162.28,18.942,0.046
2154,4472.14,2236.07,17804.5,2236.07,36.269,0.045
2155,3605.55,1414.21,17204.7,1414.21,62.569,0.098
2156,2828.43,1000,16643.3,1000,29.025,0.126
2157,2236.07,1000,16124.5,0,5.031,0.115
2158,2000,0,15231.5,0,2.1,0.131
2159,2236.07,1000,14317.8,0,5.936,0.198
2160,2828.43,0,13416.4,0,2.411,0.161
2161,3605.55,1000,12530,0,31.125,0.145
2162,4472.14,1414.21,11661.9,1000,43.826,0.159
2163,5385.17,1000,10816.7,2000,26.158,0.155
2164,6324.56,0,10000,2236.07,43.201,0.148
2165,7280.11,0,9219.54,2828.43,30.719,0.152
2166,7615.77,1000,8485.28,2236.07,40.839,0.178
2167,7280.11,1000,7810.25,2000,41.533,0.161
2168,7071.07,1000,7211.1,2236.07,21.052,0.186
2169,9055.38,1414.21,34539.8,3000,32.63,0.035
2170,9000,1000,33615.5,2236.07,12.689,0.03
2171,9055.38,1414.21,32695.6,1414.21,52.558,0.034
2172,9219.54,1000,31780.5,1000,29.741,0.046
2173,9486.83,1414.21,30870.7,1414.21,32.454,0.07
2174,9848.86,2236.07,29966.6,2236.07,84.174,0.069
2175,9219.54,1414.21,29068.9,3162.28,58.027,0.061
2176,8602.33,1000,28178,4123.11,27.752,0.099
2177,8062.26,1414.21,27294.7,4123.11,71.329,0.116
2178,7615.77,1000,26419.7,3162.28,35.215,0.111
2179,7280.11,1000,25553.9,2236.07,14.625,0.1
2180,7071.07,1000,24698.2,1414.21,23.556,0.111
2181,7000,0,23853.7,1000,7.056,0.088
2182,7071.07,1000,23021.7,0,16.194,0.094
2183,7280.11,1000,22203.6,1000,10.823,0.106
2184,7615.77,1414.21,21400.9,1414.21,6.761,0.116
2185,8062.26,1000,20615.5,2236.07,7.382,0.105
2186,8062.26,1414.21,19849.4,3162.28,6.254,0.122
2187,7071.07,2236.07,19105,4123.11,12.614,0.115
2188,6082.76,3162.28,18384.8,4472.14,22.056,0.052
2189,5099.02,3605.55,17691.8,3605.55,28.172,0.05
2190,4123.11,2828.43,17029.4,2828.43,31.019,0.058
2191,3162.28,2000,16401.2,2236.07,45.348,0.117
2192,2236.07,1000,15811.4,1414.21,56.64,0.143
2193,1414.21,0,15264.3,1000,31.889,0.156
2194,1000,1000,14764.8,0,2.333,0.137
2195,1414.21,1000,13928.4,0,1.85,0.178
2196,2236.07,1000,13000,0,2.586,0.159
2197,3162.28,0,12083,0,2.6,0.132
2198,4123.11,1000,11180.3,1000,7.608,0.17
2199,5099.02,0,10295.6,1000,37.944,0.167
2200,6082.76,1000,9433.98,1414.21,13.388,0.164
2201,7071.07,1000,8602.33,2236.07,21.177,0.167
2202,6708.2,1000,7810.25,3162.28,75.194,0.173
2203,6324.56,0,7071.07,3000,75.441,0.153
2204,6082.76,0,6403.12,3162.28,10.56,0.138
2205,10049.9,2236.07,34176,2000,30.366,0.029
2206,10000,2000,33241.5,2000,23.945,0.044
2207,10049.9,1000,32311,1000,29.077,0.048
2208,10198,0,31384.7,0,26.041,0.056
2209,10440.3,1000,30463.1,1000,57.834,0.06
2210,10630.1,2000,29546.6,2000,69.92,0.045
2211,10000,1000,28635.6,3000,51.279,0.057
2212,9433.98,0,27730.8,4000,43.921,0.069
2213,8944.27,1000,26832.8,4472.14,24.701,0.109
2214,8544,2000,25942.2,3605.55,60.643,0.125
2215,8246.21,2000,25059.9,2828.43,10.586,0.129
2216,8062.26,1414.21,24186.8,2000,15.799,0.112
2217,8000,1000,23323.8,1000,4.659,0.091
2218,8062.26,1000,22472.2,0,7.339,0.091
2219,8246.21,0,21633.3,0,6.651,0.094
2220,8544,1000,20808.7,1000,7.748,0.121
2221,8944.27,0,20000,2000,6.403,0.098
2222,8000,1000,19209.4,2828.43,5.301,0.115
2223,7000,2000,18439.1,3605.55,8.329,0.09
2224,6000,3000,17691.8,4472.14,13.984,0.077
2225,5000,4000,16970.6,3605.55,17.868,0.064
2226,4000,3162.28,16278.8,2828.43,25.563,0.053
2227,3000,2236.07,15620.5,2236.07,22.793,0.088
2228,2000,1414.21,15000,1414.21,22.833,0.139
2229,1000,1000,14422.2,1000,31.11,0.136
2230,0,1000,13892.4,0,32.962,0.115
2231,1000,0,13416.4,0,1.24,0.196
2232,2000,1000,12649.1,0,1.957,0.146
2233,3000,0,11704.7,0,2.492,0.128
2234,4000,1000,10770.3,0,3.167,0.152
2235,5000,1000,9848.86,0,21.887,0.17
2236,6000,1414.21,8944.27,1000,25.693,0.168
2237,6403.12,2000,8062.26,2000,34.195,0.156
